id,title,duration
PMv1KWDkXE4,Driving Detroit 4K HDR - Downtown to World's Largest Abandoned Factory - USA,1:04:31
Vpe9fUORDUs,Driving Pittsburgh 4K HDR - Coal & Steel City - USA,0:45:31
RFAv2KGanMU,Driving Las Vegas 4K HDR,0:00:09
75pb8LO38PM,Driving Philadelphia 4K HDR,0:00:06
sCkpHNJ7kuQ,Driving Philadelphia 4K HDR - South Philly to Downtown - USA,0:58:13
xRsUiPXFzX0,Driving Washington DC 4K HDR - Capital City of the United States - USA,1:48:09
wppGgus85gI,Driving New York City 4K HDR - Uptown to Downtown - USA,0:35:23
op95EHWKEgI,Driving New York City 4K HDR - Midtown Manhattan - USA,1:05:11
otLED2MUtVw,Driving Brooklyn 4K HDR - Downtown Waterfront - New York City - USA,0:42:27
oGjwx4EfRqU,Driving San Diego 4K HDR - Classy Southern California Coast - USA,1:07:27
ipjF2aPEyyE,Driving Las Vegas 4K HDR - Sunset On The Strip - USA,0:51:15
YpfSOejdWfE,"Driving California 4K HDR - 40,000 Vineyard Acres - Paso Robles - USA",0:30:22
4uhMg5na888,Driving Los Angeles 4K HDR - Downtown Sunrise - USA,0:44:47
Sn_z1uHmGJ8,Driving Beverly Hills 4K HDR - Los Angeles USA,0:42:27
KWciBlhQjRA,Driving Las Vegas 4K HDR - The Strip to the Hoover Dam - USA,1:16:10
vfBthYCrzZE,Gold Coast - Miami Beach 4K HDR - Ambient Drive TV,1:12:57
_Wyg213IZDI,Driving Downtown - New York City 4K HDR - Downtown Manhattan,0:51:54
7s4-DVIs6Pk,Driving New York City 4K HDR - Midtown Manhattan Lights,1:32:37
20qwjwIp5cY,New York City 4K HDR - Manhattan & Brooklyn - Driving Downtown,0:30:51
-cGGPqEi5QI,Miami Sunrise 4K HDR - Ambient Drive TV,0:37:31
Nos4EkJnfSw,Miami 4K HDR - Ambient Drive TV - South Miami,0:30:07
GDMDj2Help4,Singapore 4K - Driving Downtown - Dubai Miami Monaco Mix,0:31:07
P8Uh9f0EaU8,Driving Downtown - Taipei Taiwan 4K HDR,1:42:18
_mzDsL9tcgc,Taiwan 4K - Airport To The City - Driving Downtown,0:51:35
no6Yc4gRBc0,Seoul 4K - Sunday Morning Drive - South Korea,0:38:30
eMv6SCniTPg,Seoul 4K - Neon Nightlife - Night Drive,1:31:17
lSgTVt60M6U,Tokyo 4K - Neon Nightlife - Night Drive,1:05:07
N-P79qS3EIY,Taipei Taiwan 4K - Night Drive,0:47:03
82Jh37GLX54,Bangkok 4K HDR - Palace District - Scenic Drive,0:48:04
-YNLQlmPnqA,Tokyo 4K - Skyscraper District - Driving Downtown,0:36:10
oDejyTLYUTE,Tokyo 4K - Main Street - Morning Drive,0:38:30
qOx5CwCrN9k,Seoul 4K HDR - Beverly Hills - Scenic Drive,0:23:37
EXFlYUM5FgI,Singapore 4K HDR - Beverly Hills - Scenic Drive,0:37:01
Y11w05u97Iw,Tokyo 4K HDR - Driving Downtown - Tokyo Towers,0:49:40
c-gPO5CIvS4,Singapore 4K - Driving Downtown - Sunset Drive,0:54:10
7GQ8_Mp3pH0,Downtown Miami Night Drive,0:00:17
vBySF9eSKQs,Singapore 4K - Tropical Skyline - Driving Downtown,0:31:18
Yj5YRKgli0w,Milano Sunset Drive - Milan Italy,0:00:20
WUNoG4yCW-k,Driving into Mumbai India,0:00:15
nGsr9x_5Q9I,Driving in Downtown Chicago USA,0:00:19
aWfjZjGvpTY,Driving in Downtown Los Angeles USA,0:00:19
GXlaYDg_Mzc,Driving in New York City USA,0:00:20
DPJBITIBUhY,New Taipei City 4K - Driving Downtown - Taiwan,1:03:10
ZKJjA2sFqTE,Taipei 4K - Driving Downtown - Taiwan,0:35:38
DnDh8ewZdT4,Tokyo 4K - Metro Expressway - Night Drive,0:27:02
DlLqFGoNFZ8,Seoul 4K - South Korean Wall Street - Driving Downtown,0:50:03
qPgWV8Rxemo,Tokyo 4K - Driving Downtown - Tokyos Times Square,0:50:52
8RMAtcN2atE,Tokyo 4K - Morning Drive - Tokyo Drift,0:36:16
WzXi7amY4rc,Seoul 4K - Gangnam District - Driving Downtown,0:51:10
SuGOd1qRCxI,Seoul 4K - Driving Downtown - Morning Drive,0:29:20
KGAIumGxQeY,Seoul 4K - Driving Downtown - Skyscraper Sunset,0:47:40
JaLhmuzNmms,American West - Wyoming 4K -  Scenic Drive,1:19:04
B_pF3hO1qXw,San Diego 4K - Scenic Drive - California USA,0:28:02
cFS7-CHCaiw,San Francisco 4K - Gold Headlands - Scenic Drive,1:00:53
r5GSFhW3q40,Dublin 4K - Driving Downtown - Misty Morning,1:03:09
Arz8k37-9F4,Switzerland 4K - Scenic Drive - Stunning Grindelwald,0:30:37
rc8DwbN0O44,Paris 4K - Driving Downtown - Rushhour Rain,0:32:37
7OsG1PKWJcQ,London 4K - Sunset Drive - Skyscraper District,0:29:22
Q4WST5TWeBQ,London 4K - Shipyard Skyscrapers - Driving Downtown,0:31:53
gbI9B8ICwqM,Paris 4K - Morning Drive - Sunday Expressway,0:43:10
BfJM89EZRuk,Paris 4K - Night Drive,0:38:12
TC64wRJt3JA,Vienna 4K - Austria Capital - Driving Downtown,0:49:10
GfNrMYXygM4,Italy 4K - Steady Rain - Scenic Drive,0:50:56
9IoroeGhXtg,Italy 4K - Mountain Lake - Scenic Drive,1:01:51
fNCesoSwj6A,Milan 4K - Night Drive,0:43:48
ZByZSqoqzaI,Milan 4K - Morning Rain - Driving Downtown,0:55:33
oxZBX-e84O8,Mexico City 4K - Night Drive,0:36:31
MpA3FHZ3yZc,Skyscraper Skyline - Mexico City 4K - Morning Drive,0:51:18
QtqZE1po_NY,Mexico City 4K - Morning Drive - Expressway Sunrise,0:40:10
JCXH_WyC8A4,Skyscraper Sunset - Mexico City 4K - Driving Downtown,0:47:40
