id,title,duration
Ev0wpVB7OEs,Solving CarRacing-v0 environment from OpenAi gym,"0:01:16"
zTPnsOBAOvY,Solving OpenAI Gym CarRacing-v0 env using image processing,"0:00:19"
KQclb-CsLTE,DQN applied to OpenAI Gym 'carracing-v0',"0:00:20"
pTYOyl8To7g,OpenAi Gym Race Car Box2d,"0:00:20"
Ex4Lx6j2HtU,"OpenAI Gym Car-Racing agent demonstration","0:00:20"
FAqATf_k5fI,OpenAI Gym - CarRacing-v2 - TD3,"00:02:30"
fYGpYPyfEYU,"AI learns how to drive a race car (Continuous Actor critic, reinforcement learning)","0:01:55"
-8YrGfK3aqc,"OpenAI Gym Car Racing DQN, DDQN, SARSA","0:03:37"
